,x_1,x_2,x_3,x_4,x_5
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,1,0,0,0,0
5,1,0,0,0,0
6,0,1,0,0,0
7,0,1,0,0,0
8,0,0,1,0,0
9,0,0,1,0,0
10,0,0,1,0,0
11,0,0,1,0,0
12,0,0,0,1,0
13,0,0,0,1,0
14,0,0,0,0,1
15,1,1,0,0,0
16,1,1,0,0,0
17,1,1,0,0,0
18,1,1,0,0,0
19,1,0,1,0,0
20,1,0,1,0,0
21,1,0,1,0,0
22,1,0,0,1,0
23,1,0,0,1,0
24,1,0,0,1,0
25,1,0,0,1,0
26,1,0,0,0,1
27,1,0,0,0,1
28,0,1,0,1,0
29,0,1,0,1,0
30,0,1,0,0,1
31,0,1,0,0,1
32,0,1,0,0,1
33,0,0,1,1,0
34,0,0,1,1,0
35,0,0,1,1,0
36,0,0,1,0,1
37,0,0,1,0,1
38,0,0,1,0,1
39,0,0,1,0,1
40,0,0,1,0,1
41,0,0,1,0,1
42,0,0,1,0,1
43,0,0,0,1,1
44,0,0,0,1,1
45,0,0,0,1,1
46,1,1,1,0,0
47,1,1,1,0,0
48,1,1,1,0,0
49,1,1,0,0,1
50,1,1,0,0,1
51,1,1,0,0,1
52,1,0,1,1,0
53,1,0,1,1,0
54,1,0,1,1,0
55,1,0,1,0,1
56,1,0,1,0,1
57,1,0,1,0,1
58,1,0,1,0,1
59,1,0,1,0,1
60,1,0,1,0,1
61,1,0,1,0,1
62,1,0,0,1,1
63,1,0,0,1,1
64,0,1,1,1,0
65,0,1,1,1,0
66,0,1,1,1,0
67,0,1,1,1,0
68,0,1,1,0,1
69,0,1,1,0,1
70,0,1,1,0,1
71,0,1,1,0,1
72,0,1,1,0,1
73,0,1,1,0,1
74,0,1,1,0,1
75,0,1,1,0,1
76,0,0,1,1,1
77,0,0,1,1,1
78,0,0,1,1,1
79,1,1,1,1,0
80,1,1,1,0,1
81,1,1,1,0,1
82,1,1,1,0,1
83,1,1,1,0,1
84,1,1,0,1,1
85,1,1,0,1,1
86,1,1,0,1,1
87,1,0,1,1,1
88,1,0,1,1,1
89,1,0,1,1,1
90,1,0,1,1,1
91,1,0,1,1,1
92,0,1,1,1,1
93,0,1,1,1,1
94,0,1,1,1,1
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,1
98,1,1,1,1,1
99,1,1,1,1,1
