,beta_1,beta_2,beta_3,beta_4,beta_5,k_1_2,k_1_3,k_1_4,k_1_5,k_2_3,k_2_4,k_2_5,k_3_4,k_3_5,k_4_5,h_1_2,h_1_3,h_1_4,h_1_5,h_2_3,h_2_4,h_2_5,h_3_4,h_3_5,h_4_5
0,0.9567825526871291,0.6199771756187233,0.977177073531573,0.6160072087536599,0.9842037584224805,1.0,0.6131596604872821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.889172019499149,0.9682505587706544,0.5141451880332881,0.85047058763615,0.5441184954646296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6196125282143945,2.420451017858533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9437323373671028,0.6117231995880614,0.6888563909420937,0.9009697911556165,0.9911953335836973,1.0,0.8288415501573907,1.0,1.0,1.0,0.6849449646166942,1.9692034131012393,0.4225413696527587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.7119874846365231,0.9761497433600286,0.9534214916212307,0.9366511790578841,0.6680510392812247,2.3960172067551633,1.0,1.0,0.41899294213616745,1.0,1.0,1.0,1.0,1.0,1.841932754179784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.933436371472932,0.5538927071093911,0.6142854170557384,0.5756248803809496,0.6996906246464586,1.0,1.0,1.0,1.0,0.8979278771367667,1.0,1.0,1.0,1.0,0.4027584810089629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8691301041958928,0.9338236662967314,0.6949572668394212,0.8187541899307378,0.9911067340370745,0.43127791010327926,1.0,1.0,0.35761348983218433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.5797838977791787,0.9194944630050967,0.9476412290202276,0.531973509908166,0.817502111374371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.5747784284787698,0.5727258904956722,0.6979899976179612,0.8587954029700821,0.7894861109712298,1.0,2.5105050080122058,1.0,1.0,0.7975877752655591,1.0,1.4424065137796935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.8085791300882139,0.8173968076985978,0.9722752172039706,0.6704086230842842,0.6295523282302827,1.0,1.0,0.8535808495339698,1.0,1.0,1.0,2.22553610124764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.7059034727064527,0.6327618672113775,0.52203946103013,0.6839675093691667,0.9091696904520024,1.0,1.0,1.0,1.0,1.0,2.0883046156739216,2.429749178208375,0.49083799302239733,1.0,2.2554260614642154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.5888400026531407,0.6734098884132272,0.8880382010520298,0.9579606288920812,0.9549865797495594,1.0,1.0,2.3824447611750545,0.7570760208969969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.5802294045501725,0.9638541918157244,0.9819788232095957,0.9114210422657146,0.5204416096783462,1.0,1.0,1.0,1.0473867236231198,1.0,1.0,1.0,0.36873226846028584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.682096296867571,0.7649678591129243,0.6951568699593043,0.6596495987029567,0.550937841550058,1.0,1.0,0.4227953487699675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9148980607670218,0.5956497518309191,0.8069027373345041,0.972746424851962,0.7439154995753632,1.0,0.5026887030120865,0.49711099359375527,1.0,1.0,1.0,1.0,1.0,1.0,2.2231531766972794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.5363175865291305,0.5064058599359613,0.9904157511021747,0.7265075376809933,0.8665247439991904,1.0,1.0,0.7170604204722208,1.0,1.0,1.0,1.0,1.0,0.7789251963253103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.6365484662978742,0.9554360950642131,0.5181261963596531,0.7700960569260622,0.7243264364207895,1.0,1.0,1.0,0.7284692033122203,1.0902489157867576,1.0,1.0,1.0,1.0,2.211641847894001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.9006680698128795,0.9613810688561881,0.6335653034432149,0.6737401336771078,0.8490964230111033,0.855098798038153,1.0,1.0,1.0,1.0,1.0,0.9523529601861225,0.351142330019552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9376552277613805,0.673512428454389,0.7455956796117544,0.7368287532216624,0.9896183438097649,1.0,1.0,1.0,1.0,1.0,2.7353203291993937,1.0,2.0111320714391177,1.389342571534034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.5889921565442272,0.7396669834643306,0.6800315917434203,0.831597088159175,0.6080419659816516,1.0,1.0,0.7267412597336506,0.3504704365247653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.6558789625535678,0.5619357820366042,0.6955551241034605,0.7260604458847095,0.9083879951850147,1.0,0.46337432241221493,1.0,0.40047460196656026,0.34620326393820205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.9498930805289911,0.530719244111256,0.8193927989528167,0.5657055332023253,0.9176952744611855,0.9107573311177434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.564545667513394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.6931075460811387,0.7048223026510976,0.6524818544256739,0.8172279292524236,0.7331279029684635,1.0,1.0,1.0,1.0,0.6130433924607547,1.0,1.0,0.4728967275713991,1.227499483775415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
